205	error	code-scanning	go/path-injection	internal/fileops/safe_operations.go:219	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/205	2026-02-21T03:55:21Z
207	error	code-scanning	go/path-injection	internal/fileops/safe_operations.go:230	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/207	2026-02-21T03:55:21Z
208	error	code-scanning	go/path-injection	internal/fileops/safe_operations.go:246	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/208	2026-02-21T03:55:21Z
209	error	code-scanning	go/path-injection	internal/fileops/safe_operations.go:250	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/209	2026-02-21T03:55:21Z
210	error	code-scanning	go/path-injection	internal/fileops/safe_operations.go:255	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/210	2026-02-21T03:55:21Z
211	error	code-scanning	go/path-injection	internal/metadata/enhanced.go:353	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/211	2026-02-21T03:55:21Z
212	error	code-scanning	go/path-injection	internal/metadata/enhanced.go:455	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/212	2026-02-21T03:55:21Z
213	error	code-scanning	go/path-injection	internal/metadata/enhanced.go:524	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/213	2026-02-21T03:55:21Z
215	error	code-scanning	go/path-injection	internal/itunes/fingerprint.go:43	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/215	2026-02-24T16:45:03Z
216	error	code-scanning	go/path-injection	internal/itunes/fingerprint.go:48	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/216	2026-02-24T16:45:03Z
223	error	code-scanning	go/path-injection	internal/metadata/cover.go:69	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/223	2026-02-27T21:29:29Z
224	error	code-scanning	go/path-injection	internal/metadata/cover.go:76	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/224	2026-02-27T21:29:29Z
225	error	code-scanning	go/path-injection	internal/metadata/metadata.go:112	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/225	2026-02-27T21:29:29Z
230	error	code-scanning	go/path-injection	internal/metadata/assemble.go:54	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/230	2026-03-01T03:46:33Z
231	error	code-scanning	go/path-injection	internal/metadata/assemble.go:190	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/231	2026-03-01T03:46:33Z
232	error	code-scanning	go/request-forgery	internal/metadata/cover.go:48	Uncontrolled data used in network request	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/232	2026-03-01T09:28:37Z
253	error	code-scanning	go/path-injection	internal/organizer/organizer.go:519	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/253	2026-03-10T14:02:21Z
331	error	code-scanning	go/path-injection	internal/itunes/itl.go:493	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/331	2026-03-30T04:29:40Z
332	error	code-scanning	go/path-injection	internal/itunes/parser.go:72	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/332	2026-03-30T04:29:40Z
337	error	code-scanning	go/path-injection	internal/server/maintenance_fixups.go:84	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/337	2026-04-02T00:18:34Z
338	error	code-scanning	go/path-injection	internal/server/maintenance_fixups.go:101	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/338	2026-04-02T00:18:34Z
339	error	code-scanning	go/path-injection	internal/organizer/reflink_unix.go:57	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/339	2026-04-03T03:00:50Z
342	error	code-scanning	go/path-injection	internal/organizer/organizer.go:562	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/342	2026-04-03T16:08:45Z
346	error	code-scanning	go/path-injection	internal/backup/backup.go:167	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/346	2026-04-07T01:35:13Z
347	error	code-scanning	go/path-injection	internal/backup/backup.go:172	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/347	2026-04-07T01:35:13Z
348	error	code-scanning	go/path-injection	internal/config/persistence.go:129	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/348	2026-04-07T01:35:13Z
349	error	code-scanning	go/path-injection	internal/fileops/safe_operations.go:58	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/349	2026-04-07T01:35:13Z
350	error	code-scanning	go/path-injection	internal/fileops/safe_operations.go:226	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/350	2026-04-07T01:35:13Z
351	error	code-scanning	go/path-injection	internal/itunes/generate_test_itls.go:49	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/351	2026-04-07T01:35:13Z
352	error	code-scanning	go/path-injection	internal/itunes/generate_test_itls.go:56	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/352	2026-04-07T01:35:13Z
353	error	code-scanning	go/path-injection	internal/itunes/generate_test_itls.go:200	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/353	2026-04-07T01:35:13Z
354	error	code-scanning	go/path-injection	internal/itunes/generate_test_itls.go:379	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/354	2026-04-07T01:35:13Z
355	error	code-scanning	go/path-injection	internal/itunes/generate_test_itls.go:410	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/355	2026-04-07T01:35:13Z
356	error	code-scanning	go/path-injection	internal/itunes/generate_test_itls.go:584	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/356	2026-04-07T01:35:13Z
357	error	code-scanning	go/path-injection	internal/itunes/generate_test_itls.go:612	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/357	2026-04-07T01:35:13Z
358	error	code-scanning	go/path-injection	internal/itunes/generate_test_itls.go:639	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/358	2026-04-07T01:35:13Z
359	error	code-scanning	go/path-injection	internal/itunes/generate_test_itls.go:669	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/359	2026-04-07T01:35:13Z
360	error	code-scanning	go/path-injection	internal/itunes/generate_test_itls.go:700	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/360	2026-04-07T01:35:13Z
361	error	code-scanning	go/path-injection	internal/metadata/cover.go:40	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/361	2026-04-07T01:35:13Z
362	error	code-scanning	go/path-injection	internal/metadata/metadata.go:868	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/362	2026-04-07T01:35:13Z
363	error	code-scanning	go/path-injection	internal/metadata/metadata.go:879	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/363	2026-04-07T01:35:13Z
364	error	code-scanning	go/path-injection	internal/openlibrary/downloader.go:92	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/364	2026-04-07T01:35:13Z
365	error	code-scanning	go/path-injection	internal/organizer/organizer.go:98	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/365	2026-04-07T01:35:13Z
366	error	code-scanning	go/path-injection	internal/organizer/organizer.go:541	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/366	2026-04-07T01:35:13Z
383	error	code-scanning	go/path-injection	internal/organizer/organizer.go:139	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/383	2026-04-11T02:37:11Z
385	error	code-scanning	go/path-injection	internal/server/audiobooks_handlers.go:305	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/385	2026-04-11T23:49:55Z
388	error	code-scanning	go/path-injection	internal/server/filesystem_handlers.go:165	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/388	2026-04-11T23:49:55Z
389	error	code-scanning	go/path-injection	internal/server/filesystem_handlers.go:257	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/389	2026-04-11T23:49:55Z
390	error	code-scanning	go/path-injection	internal/server/system_handlers.go:267	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/390	2026-04-11T23:49:55Z
391	error	code-scanning	go/path-injection	internal/server/system_handlers.go:278	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/391	2026-04-11T23:49:55Z
392	error	code-scanning	go/path-injection	internal/server/system_handlers.go:282	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/392	2026-04-11T23:49:55Z
396	error	code-scanning	go/path-injection	internal/organizer/organizer.go:460	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/396	2026-04-15T03:18:50Z
397	error	code-scanning	go/path-injection	internal/organizer/organizer.go:462	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/397	2026-04-15T03:18:50Z
407	error	code-scanning	go/path-injection	internal/merge/collision.go:35	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/407	2026-04-18T20:30:31Z
408	error	code-scanning	go/path-injection	internal/metafetch/file_pipeline.go:179	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/408	2026-04-18T20:30:31Z
409	error	code-scanning	go/path-injection	internal/metafetch/file_pipeline.go:184	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/409	2026-04-18T20:30:31Z
410	error	code-scanning	go/path-injection	internal/metafetch/file_pipeline.go:187	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/410	2026-04-18T20:30:31Z
411	error	code-scanning	go/path-injection	internal/metafetch/file_pipeline.go:196	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/411	2026-04-18T20:30:31Z
412	error	code-scanning	go/path-injection	internal/metafetch/file_pipeline.go:196	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/412	2026-04-18T20:30:31Z
413	error	code-scanning	go/path-injection	internal/metafetch/openlibrary.go:45	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/413	2026-04-18T20:30:31Z
414	error	code-scanning	go/path-injection	internal/organizer/rename.go:237	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/414	2026-04-18T20:30:31Z
415	error	code-scanning	go/path-injection	internal/organizer/rename.go:386	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/415	2026-04-18T20:30:31Z
416	error	code-scanning	go/path-injection	internal/organizer/rename.go:392	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/416	2026-04-18T20:30:31Z
417	error	code-scanning	go/path-injection	internal/organizer/rename.go:392	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/417	2026-04-18T20:30:31Z
418	error	code-scanning	go/path-injection	internal/organizer/rename.go:402	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/418	2026-04-18T20:30:31Z
419	error	code-scanning	go/path-injection	internal/organizer/rename.go:409	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/419	2026-04-18T20:30:31Z
